,ingredients,explanation,reference
0,niacinamide,"['ExplainedNiacinamide has emerged as an all-star ingredient due to its many benefits.It is known to treat acne by reducing inflammation. It also helps fade dark-spots and strengthen the skin by promoting the growth of the ceramide barrier.Other benefits include smoothing wrinkles and minimizing redness.The cherry on top? Niacinamide can also help build keratin, a protein that keeps skin firm.When incorporating niacinamide into your routine, look out for concentration amounts. Typically, 5% niacinamide provides benefits such as fading dark spots. However, if you have sensitive skin, it is better to begin with a smaller concentration.Niacinamide can be mixed with other ingredients to boost benefits. For instance, it has shown to be effective when used withcopper,folic acid, andzincto treat acne.']","['https://pubmed.ncbi.nlm.nih.gov/17147561/', 'https://www.komen.org/breast-cancer/survivorship/complementary-therapies/niacinamide/', 'https://www.cosmeticsinfo.org/ingredients/niacinamide/', 'https://pubmed.ncbi.nlm.nih.gov/24993939/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6824628/', 'https://pubmed.ncbi.nlm.nih.gov/34844552/']"
1,hyaluronic-acid,"['ExplainedHyaluronic acid is naturally found in healthy skin. It is a humectant, meaning it draws moisture to your skin.Hyaluronic Acid has the capacity to bind to large amounts of water. This ingredient helps hydrate, soothe, and protect the skin.Fun fact: It is already naturally found in our bodies, such as the fluids of our eyes and our joints.Studies find this ingredient to have anti-inflammatory and anti-microbial properties. This can help speed up wound-healing,These are some other common types of Hyaluronic Acid:Sodium HyaluronateHydrolyzed Hyaluronic AcidSodium Hyaluronate Crosspolymer']","['https://pubmed.ncbi.nlm.nih.gov/10231509/', 'https://pubmed.ncbi.nlm.nih.gov/25871518/', 'https://pubmed.ncbi.nlm.nih.gov/22052267/', 'https://www.ncbi.nlm.nih.gov/books/NBK482440/', 'https://pubmed.ncbi.nlm.nih.gov/26978861/', 'https://pubmed.ncbi.nlm.nih.gov/36297670/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9079116/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5423572/']"
2,salicylic-acid,"[""ExplainedSalicylic Acid (also known asbeta hydroxy acidorBHA) is one of the most well-known ingredients for treating skin that struggles with blackheads and acne. It helps to exfoliate both the skin's surface and pores, and also acts as an anti-inflammatory agent.This multitasking property makes it a great ingredient for cleaning out pores, controlling oil production, and reducing inflammation.Unlike AHAs which are water soluble, Salicylic Acid is oil soluble. This means that it's able to exfoliate the inside of pores and reduce blackheads.Concentrations of0.5-2%are recognized by the U.S. FDA as an over-the-counter topical acne product.It can cause irritation and/or dryness if one's skin already has a compromised moisture barrier, so it's best to focus on repairing that before introducing a Salicylic Acid into your routine.In general, Salicylic Acid is a great ingredient for oily acne-prone skin.While salicylic acid does not increase sun-sensitivity, we still recommend wearing SPF.If you are looking for the ingredient calledBHA or Butylated Hydroxyanisole, click here.""]","['https://pubmed.ncbi.nlm.nih.gov/22808307/', 'https://onlinelibrary.wiley.com/doi/10.1111/exd.13934', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4554394/', 'https://www.ncbi.nlm.nih.gov/books/NBK500675/', 'https://www.cosmeticsinfo.org/ingredients/salicylic-acid/']"
3,glycerin,"['ExplainedGlycerin is already naturally found in your skin. It helps moisturize and protect your skin.A study from 2016 found glycerin to be more effective as a humectant thanAHAsandhyaluronic acid.As a humectant, it helps the skin stay hydrated by pulling moisture to your skin. The low molecular weight of glycerin allows it to pull moisture into the deeper layers of your skin.Hydrated skin improves your skin barrier; Your skin barrier helps protect against irritants and bacteria.Glycerin has also been found to have antimicrobial and antiviral properties. Due to these properties, glycerin is often used in wound and burn treatments.In cosmetics, glycerin is usually derived from plants such assoybeanorpalm. However, it can also be sourced from animals, such as tallow or animal fat.This ingredient is organic, colorless, odorless, and non-toxic.Glycerin is the name for this ingredient in American English. British English uses Glycerol/Glycerine.']","['https://journals.sagepub.com/doi/full/10.1177/1091581819883820', 'https://pubmed.ncbi.nlm.nih.gov/34445455/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4885180/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5560567/']"
4,retinol,"[""ExplainedRetinol is a form of Vitamin A This anti-aging ingredient has plenty of research to back up its claims.Unlike AHA's, retinol does not remove the top layer of old and dead skin cells. Instead, it travels directly to the middle layer and gets to work. As an antioxidant, it boosts elastin and collagen production.This makes retinol effective in removing fine lines, wrinkles, fading dark spots, and enlarged pores.Retinol is sensitive to breakdown when exposed to sun and air. Be sure to look for appropriate packaging to keep your retinol potent.Retinol (and retinoids) will also make your skin more sensitive to the sun. Studies show using retinol consistently will make your skin sensitive for up to a month after the last application. Definitely wear SPF after applying retinol!It is not recommended to use any retinols while pregnant. Retinol may cause irritation in some people, so be sure to patch test.Experts recommend 'ramping up' retinol use: start using this ingredient once a week and work up to using it daily.Read aboutTretinoin""]","['https://academic.oup.com/asj/article/30/1/74/199813', 'https://pubmed.ncbi.nlm.nih.gov/26578346/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2699641/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3814709/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8750127/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9618501/']"
5,ascorbic-acid,"['ExplainedAscorbic Acid is is pure Vitamin C. Ascorbic Acid contains large amounts of antioxidants. It is the largest amount of vitamin C found naturally in our skin. Not only is Vitamin C great for your overall health and immune system, it also has plenty of benefits on your skin.Vitamin C is best used for brightening skin, such as improving dark spots, acne scars, and hyperpigmentation. This is because Vitamin C has been shown to block the process of skin darkening.Your skin uses Vitamin C to build collagen. Collagen production plays a role in having a strong skin barrier and having plump skin.Vitamin C is also a key component in helping your skin regulate collagen, thus making it effective in improving wrinkles and fine lines. As an antioxidant, it helps fight free-radicals. Free-radicals are molecules that may damage your skin cells. These antioxidants also protect skin against UV damage.Vitamin Ehelps stabilize and provide a boost in the benefits of ascorbic acid. It helps aid in UV protection but becomes unstable when exposed to UV and air.Vitamin C does not replace sunscreen!Ascorbic acid is generally compatible with other ingredients. However, using ascorbic acid with other active ingredients might cause irritation. Two ingredients: copper ions and benzoyl peroxide, will inactivate ascorbic acid completely.Read more about other types of Vitamin C:Sodium Ascorbyl Phosphate3-O-Ethyl Ascorbic AcidAscorbyl GlucosideAscorbyl PalmitateFoods rich with vitamin C include oranges, strawberries, broccoli, bell peppers, and more. When consuming Vitamin C, your skin receives a portion of the nutrients.']","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5605218/', 'https://www.mdpi.com/2079-9284/6/4/58', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3673383/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5579659/', 'https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1524-4725.2002.01129.x']"
6,water,"[""ExplainedWater. It's the most common cosmetic ingredient of all. You'll usually see it at the top of ingredient lists, meaning that it makes up the largest part of the product.So why is it so popular? Water most often acts as a solvent - this means that it helps dissolve other ingredients into the formulation.You'll also recognize water as that liquid we all need to stay alive. Talk about multi-purpose! If you see this, drink a glass of water. Stay hydrated!""]",[]
7,panthenol,"[""ExplainedPanthenol (also referred to as pro-vitamin B5) is a common ingredient that helps hydrate and soothe the skin.lt is a humectant, meaning that it helps the skin attract and retain moisture.Another benefit is the anti-inflammatory abilities. This means that it's great for sensitive, irritation-prone skin.Once oxidized, panthenol converts topantothenic acid. Panthothenic acid is found in all living cells.""]","['https://pubmed.ncbi.nlm.nih.gov/21982351/', 'https://www.tandfonline.com/doi/full/10.1080/09546634.2016.1218417', 'https://journals.lww.com/ijdv/Abstract/9900/Alleviating_skin_barrier_disruption,_skin.4.aspx', 'https://www.cosmeticsinfo.org/ingredients/panthenol/', 'https://pubchem.ncbi.nlm.nih.gov/compound/Panthenol']"
8,glycolic-acid,"[""ExplainedGlycolic Acid is arguably the most famous AHA with research to back up its benefits. Its main role is to peel the top layer of skin cells from the newer layer of skin underneath. This helps skin to remove dark spots and look more even.Glycolic Acid has shown to boost collage production, a protein that helps skin stay firm. Overall, Glycolic Acid helps with improving uneven tone, rough patches of skin, fine lines, wrinkles, and sun damage. It also increases skin hydration by playing a role in creating molecules that create hyaluronic acid naturally.When applying Glycolic Acid, it is normal to feel slight stinging. The pH value and concentration of glycolic acid play a role in the effectiveness of the product.Recent studies have shown Glycolic Acid may protect the skin against UV damage. However, you should always wear SPF, especially when using exfoliants.Read more about some other popular AHA's here:Citric AcidLactic AcidMalic AcidMandelic Acid""]","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017965/', 'https://pubmed.ncbi.nlm.nih.gov/22916351/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3875240/', 'https://onlinelibrary.wiley.com/doi/full/10.1111/jocd.13570', 'https://journals.sagepub.com/doi/abs/10.1177/109158189801700101']"
9,centella-asiatica-extract,"['ExplainedCentella Asiatica Extract is derived from an herb plant native to Southeast Asia. It is rich in antioxidants and amino acids. In skincare products, Centella Asiatica Extract is used for its anti-inflammatory and soothing properties.Many active components found in Centella Asiatica Extract, such asMadecassic AcidandAsiaticoside, encourage the skin to naturally produce hyaluronic acid. This helps keep our skin hydrated. Many of these components also show antioxidant activity and may help reduce the signs of aging.Research shows Centella Asiatica can help increase Type I collagen production by increasing fibroblast production. Fibroblast helps form connective tissue.The combination of all these properties makes Centella Asiatica Extract effective at soothing the skin.Other components of Centella Asiatic Extract includeVitamin A,vitamin C, several B vitamins, andAsiatic Acid.Recent studies found madecassoside may help prevent damage from UV rays by preventing UV-induced inflammation. Further research is needed.This plant has been used as a medicine and in food for many centuries. As a medicine, it is used to treat burns, scratches, and wounds.']","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4852572/', 'https://www.sciencedirect.com/science/article/abs/pii/S104345261500056X?via%3Dihub', 'https://wselvamurthy.com/wp-content/uploads/2020/01/Asian-Medicinal-Remedies-for-aging-effects-2013.pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3116297/', 'https://www.sciencedirect.com/science/article/pii/B978008102659500032X?via%3Dihub', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8627341/', 'https://pubmed.ncbi.nlm.nih.gov/16557473/']"
